Domain, TTL, Packet Loss, rtt min/avg/max/mdev
google.com, 114, 0%, 230.523/230.523/230.523/0.000
quad9.net, 57, 0%, 88.055/88.055/88.055/0.000
yandex.ru, 57, 0%, 281.618/281.618/281.618/0.000
one.one.one.one, 57, 0%, 52.812/52.812/52.812/0.000
wikipedia.org, 54, 0%, 93.420/93.420/93.420/0.000
github.com, 54, 0%, 76.302/76.302/76.302/0.000
adguard.com, 60, 0%, 56.995/56.995/56.995/0.000
resolver1.level3.net, 55, 0%, 94.291/94.291/94.291/0.000
recursorprimary.nsd.app, 244, 0%, 83.078/83.078/83.078/0.000
a.root-servers.net, 58, 0%, 82.941/82.941/82.941/0.000
